STT,YearStudy,TermID,DepartmentID,CurriculumID,ProfessorID,SLSV_lechden3ruoi,SLSV_lechtren3ruoiden5,SLSV_lechtren5,SLSV,phtram_lechden3ruoi,phtram_lechtren3ruoiden5,phtram_lechtren5,CanhBao
136,2014-2015,HK01,163,1246110,1021,60,0,0,60,100.0,0.0,0.0,
137,2014-2015,HK01,163,1263112,7040,27,0,0,27,100.0,0.0,0.0,
138,2014-2015,HK01,163,1263113,7040,128,3,0,131,97.7,2.3,0.0,
139,2014-2015,HK01,163,1263240,1218,140,0,0,140,100.0,0.0,0.0,
140,2014-2015,HK01,163,1263250,1019,32,3,1,36,88.9,8.3,2.8,
141,2014-2015,HK01,163,1263321,2193,17,0,0,17,100.0,0.0,0.0,
142,2014-2015,HK01,163,1263470,4122,26,0,0,26,100.0,0.0,0.0,
143,2014-2015,HK01,163,1263490,2193,73,18,15,106,68.9,17.0,14.2,
144,2014-2015,HK01,163,1264010,2193,24,20,14,58,41.4,34.5,24.1,Cảnh báo điểm QT cao nhiều so với điểm thi
145,2014-2015,HK01,163,AUVI331563,2193,11,9,7,27,40.7,33.3,25.9,Cảnh báo điểm QT cao nhiều so với điểm thi
146,2014-2015,HK01,163,DIGI330163,4721,46,32,47,125,36.8,25.6,37.6,Cảnh báo điểm QT cao nhiều so với điểm thi
77,2014-2015,HK02,146,PLCS330846,1177,116,8,2,126,92.1,6.3,1.6,
78,2014-2015,HK02,146,PLCS330846,1188,34,0,0,34,100.0,0.0,0.0,
79,2014-2015,HK02,162,1162111,2203,56,10,3,69,81.2,14.5,4.3,
80,2014-2015,HK02,162,1162112,2203,51,8,0,59,86.4,13.6,0.0,
81,2014-2015,HK02,162,BAEL340662,2103,16,15,8,39,41.0,38.5,20.5,Cảnh báo điểm QT cao nhiều so với điểm thi
82,2014-2015,HK02,162,BAEL340662,2009,15,6,2,23,65.2,26.1,8.7,
83,2014-2015,HK02,162,BAEL340662,9401,67,17,6,90,74.4,18.9,6.7,
84,2014-2015,HK02,162,BAEL340662,2203,26,6,0,32,81.3,18.8,0.0,
85,2014-2015,HK02,162,BAEL340662,1045,147,28,4,179,82.1,15.6,2.2,
86,2014-2015,HK02,162,BAEL340662,1180,152,23,0,175,86.9,13.1,0.0,
87,2014-2015,HK02,162,BAEL340662,9260,78,9,0,87,89.7,10.3,0.0,
88,2014-2015,HK02,162,EEEN234062,269,100,0,0,100,100.0,0.0,0.0,
89,2014-2015,HK02,162,EEEN234162,1018,72,9,0,81,88.9,11.1,0.0,
90,2014-2015,HK02,162,POEL330262,395,88,48,49,185,47.6,25.9,26.5,Cảnh báo điểm QT cao nhiều so với điểm thi
