CurriculumID,CurriculumName,Credits,GraduateLevelID,CurriculumGroupID,DepartmentID,ForeignName
1250750,Văn hóa ẩm thực (TN-CTP),1,DH,GC,750,
1250760,Thẩm định dự án (TN-CTP),2,DH,GC,750,Project Appraisal
1250770,Sở hữu trí tuệ (TN-CTP),2,DH,GC,750,
1250780,Luật và tiêu chuẩn thực phẩm,2,DH,NC,750,
1250790,CN C.Biến nước G.Khát  và rau quả,3,DH,NC,750,"Beverage, Fruit and Vegetables Processing Technology"
1250800,Phụ gia và hương liệu T.Phẩm,2,DH,NC,750,Additives and Flavors of Food
1250810,Công nghệ chế biến sữa,2,DH,NC,750,Dairy Processing Technology
1250820,Quản trị chất lượng thực phẩm,3,DH,NC,750,Food Quality Management
1250830,Công nghệ chế biến bánh kẹo,3,DH,NC,750,Confectionery and Bakery Processing Technology
1250840,C.Nghệ thực phẩm truyền thống,2,DH,NC,750,
1250850,Kỹ thuật bao bì thực phẩm,2,DH,NC,750,Food Packaging Technique
1250860,Nghiên cứu và P.Triển sản phẩm,3,DH,NC,750,Product Research and Development
1250870,Đánh giá cảm quan thực phẩm,2,DH,NC,750,Sensory Evaluation of Food
1250880,TN Đánh giá cảm quan thực phẩm,2,DH,NC,750,Experiment on Food Sensory Evaluation
1250890,Độc tố học thực phẩm(TN),2,DH,GC,750,Food Toxicology
1250900,Công nghệ sau thu hoạch (TN),3,DH,GC,750,Postharvest Technology
1250910,Kỹ thuật sản xuất sạch hơn(TN),2,DH,GC,750,Lean Manufacturing Technique
1250920,Các KT hiện đại trong CNTP(TN),3,DH,GC,750,Modern Techniques in Food Technology
1250930,Văn hóa ẩm thực (TN),2,DH,GC,750,Gastronomy Culture
1250940,Hóa keo,2,DH,NC,750,Colloid Chemistry
1250950,T.Kế C.Nghệ  và  nhà máy T.Phẩm,2,DH,NC,750,Design of Technological Process and Food Manufactory
1250951,P.Pháp T.Kế TN  và  Xử lý số liệu,2,DH,NC,750,Experiment Design and Data Processing
1250960,Đồ án môn học CNTP,2,DH,NC,750,Food Manufacturing Process & Equipment
